Metric,base,c_ind_ddgroup,cox_tree,ddgroup,no_exp_ddgroup,pl_ddgroup,prim,random,survival_tree
Test EPE,0.617 (0.029),0.720 (0.218),0.720 (0.220),0.379 (0.069),0.767 (0.221),0.618 (0.039),0.618 (0.029),0.579 (0.107),0.645 (0.075)
Test Rej@1%,0.014 (0.002),0.015 (0.006),0.029 (0.021),0.003 (0.002),0.011 (0.006),0.010 (0.003),0.013 (0.002),0.004 (0.002),0.004 (0.002)
Test Rej@5%,0.074 (0.003),0.060 (0.009),0.103 (0.023),0.030 (0.011),0.027 (0.010),0.062 (0.010),0.074 (0.003),0.011 (0.003),0.037 (0.009)
Test Rej@10%,0.151 (0.006),0.111 (0.019),0.193 (0.023),0.111 (0.031),0.066 (0.024),0.122 (0.020),0.154 (0.006),0.051 (0.014),0.106 (0.025)
Test C-Index,0.661 (0.028),0.689 (0.070),0.685 (0.073),0.839 (0.049),0.665 (0.075),0.660 (0.034),0.661 (0.029),0.681 (0.074),0.636 (0.051)
Test PLL,-92.221 (4.073),-54.977 (13.756),-38.637 (11.812),-6.919 (1.120),-7.509 (1.149),-74.290 (11.885),-85.929 (5.495),-7.854 (1.513),-18.384 (7.664)
Test Size,1.000 (0.000),0.646 (0.145),0.444 (0.105),0.154 (0.011),0.129 (0.008),0.817 (0.122),0.958 (0.022),0.132 (0.009),0.214 (0.086)
Test Precision,,,,,,,,,
Test Recall,,,,,,,,,
Test F1 Score,,,,,,,,,
Test IoU,,,,,,,,,
