Metric,base,c_ind_ddgroup,cox_tree,ddgroup,no_exp_ddgroup,pl_ddgroup,prim,random,survival_tree
Test EPE,0.681 (0.002),0.649 (0.027),0.626 (0.040),0.610 (0.036),0.612 (0.041),0.677 (0.004),0.684 (0.003),0.623 (0.035),0.682 (0.017)
Test Rej@1%,0.001 (0.001),0.001 (0.001),0.002 (0.001),0.002 (0.001),0.002 (0.001),0.001 (0.001),0.001 (0.001),0.001 (0.001),0.002 (0.002)
Test Rej@5%,0.035 (0.004),0.017 (0.006),0.027 (0.015),0.023 (0.015),0.025 (0.015),0.044 (0.007),0.033 (0.004),0.024 (0.015),0.013 (0.007)
Test Rej@10%,0.083 (0.006),0.072 (0.016),0.054 (0.021),0.054 (0.022),0.050 (0.022),0.096 (0.011),0.080 (0.007),0.052 (0.022),0.044 (0.011)
Test C-Index,0.566 (0.008),0.641 (0.046),0.623 (0.039),0.639 (0.039),0.636 (0.041),0.577 (0.015),0.553 (0.011),0.625 (0.042),0.575 (0.030)
Test PLL,-270.414 (5.119),-92.209 (38.304),-12.265 (1.486),-13.917 (1.995),-12.234 (1.476),-241.731 (29.341),-251.694 (3.921),-21.735 (6.011),-53.804 (17.458)
Test Size,1.000 (0.000),0.386 (0.135),0.113 (0.009),0.124 (0.010),0.117 (0.009),0.902 (0.098),0.939 (0.014),0.152 (0.024),0.256 (0.068)
Test Precision,,,,,,,,,
Test Recall,,,,,,,,,
Test F1 Score,,,,,,,,,
Test IoU,,,,,,,,,
