Metric,base,c_ind_ddgroup,cox_tree,ddgroup,no_exp_ddgroup,pl_ddgroup,prim,random,survival_tree
Test EPE,0.651 (0.003),0.536 (0.010),0.521 (0.006),0.527 (0.010),0.509 (0.016),0.638 (0.012),0.651 (0.003),0.525 (0.011),0.532 (0.013)
Test Rej@1%,0.017 (0.002),0.237 (0.012),0.239 (0.013),0.242 (0.015),0.268 (0.006),0.017 (0.002),0.017 (0.002),0.252 (0.028),0.142 (0.120)
Test Rej@5%,0.059 (0.001),0.302 (0.017),0.309 (0.010),0.310 (0.021),0.335 (0.010),0.059 (0.001),0.060 (0.001),0.313 (0.021),0.224 (0.107)
Test Rej@10%,0.100 (0.004),0.349 (0.014),0.353 (0.012),0.357 (0.019),0.372 (0.014),0.100 (0.004),0.101 (0.003),0.358 (0.019),0.297 (0.078)
Test C-Index,0.603 (0.004),0.728 (0.010),0.736 (0.006),0.733 (0.010),0.750 (0.014),0.616 (0.013),0.602 (0.004),0.735 (0.010),0.729 (0.013)
Test PLL,-5837.237 (4.515),-749.941 (126.276),-2329.065 (362.029),-1002.042 (279.166),-357.976 (25.490),-5292.279 (544.111),-5182.455 (376.399),-576.556 (76.815),-1009.527 (192.083)
Test Size,1.000 (0.000),0.183 (0.025),0.465 (0.063),0.227 (0.050),0.103 (0.005),0.911 (0.089),0.901 (0.057),0.149 (0.016),0.234 (0.037)
Test Precision,0.632 (0.005),0.999 (0.001),1.000 (0.000),1.000 (0.000),1.000 (0.000),0.672 (0.037),0.640 (0.007),1.000 (0.000),1.000 (0.000)
Test Recall,1.000 (0.000),0.290 (0.040),0.734 (0.099),0.362 (0.083),0.163 (0.008),0.919 (0.081),0.911 (0.056),0.236 (0.024),0.399 (0.061)
Test F1 Score,0.774 (0.004),0.437 (0.047),0.809 (0.074),0.491 (0.073),0.279 (0.012),0.731 (0.046),0.743 (0.022),0.376 (0.030),0.555 (0.063)
Test IoU,0.632 (0.005),0.290 (0.040),0.734 (0.099),0.362 (0.083),0.163 (0.008),0.590 (0.045),0.595 (0.026),0.236 (0.024),0.399 (0.061)
